symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source,vietstock_profile_url,vietstock_financial_url
S99,HNX,CTCP SCI,SCI Joint Stock Company,STOCK,386.0,SCI,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,99134331,EXPANDED,https://finance.vietstock.vn/S99/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/S99/tai-chinh.htm?tab=BCTT
CDN,HNX,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company,STOCK,387.0,Cảng Đà Nẵng,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,99000000,EXPANDED,https://finance.vietstock.vn/CDN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CDN/tai-chinh.htm?tab=BCTT
PGD,HOSE,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,PetroVietNam Low Pressure Gas Distribution JSC,STOCK,388.0,Phân phối khí thấp áp Dầu khí Việt Nam,Tiện ích,Tiện ích,Gas sinh hoạt,Utilities,Utilities,Gas Utilities,98998266,EXPANDED,https://finance.vietstock.vn/PGD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PGD/tai-chinh.htm?tab=BCTT
STG,HOSE,CTCP Kho vận Miền Nam,South Logistics Joint Stock Company,STOCK,389.0,Kho vận Miền Nam,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,98253357,EXPANDED,https://finance.vietstock.vn/STG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/STG/tai-chinh.htm?tab=BCTT
VNG,HOSE,CTCP Du lịch Thành Thành Công,Thanh Thanh Cong Tourist Joint Stock Company,STOCK,390.0,Du lịch Thành Thành Công,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",97276608,EXPANDED,https://finance.vietstock.vn/VNG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VNG/tai-chinh.htm?tab=BCTT
ART,UPCOM,CTCP Chứng khoán Artex,Artex Securities Joint Stock Company,STOCK,391.0,Chứng khoán Artex,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,96922509,EXPANDED,https://finance.vietstock.vn/ART/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ART/tai-chinh.htm?tab=BCTT
STK,HOSE,CTCP Sợi Thế Kỷ,Century Synthetic Fiber Corporation,STOCK,392.0,Sợi Thế Kỷ,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",96636924,EXPANDED,https://finance.vietstock.vn/STK/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/STK/tai-chinh.htm?tab=BCTT
ITC,HOSE,CTCP Đầu tư và Kinh doanh Nhà,Investment and Trading Of Real Estate JSC,STOCK,393.0,Đầu tư và Kinh doanh Nhà,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,96375409,EXPANDED,https://finance.vietstock.vn/ITC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ITC/tai-chinh.htm?tab=BCTT
VPH,HOSE,CTCP Vạn Phát Hưng,Van Phat Hung Corporation,STOCK,394.0,Vạn Phát Hưng,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,95357800,EXPANDED,https://finance.vietstock.vn/VPH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VPH/tai-chinh.htm?tab=BCTT
LIG,HNX,CTCP Licogi 13,Licogi 13 JSC,STOCK,395.0,Licogi 13,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,95084569,EXPANDED,https://finance.vietstock.vn/LIG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LIG/tai-chinh.htm?tab=BCTT
DBD,HOSE,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),Binh Dinh Pharmaceutical and Medical Equipment JSC,STOCK,396.0,Dược - Trang thiết bị Y tế Bình Định (Bidiphar),Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,93593847,EXPANDED,https://finance.vietstock.vn/DBD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DBD/tai-chinh.htm?tab=BCTT
TBH,UPCOM,CTCP Tổng Bách Hóa,General Department Store Joint Stock Company,STOCK,397.0,Tổng Bách Hóa,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,93117800,EXPANDED,https://finance.vietstock.vn/TBH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TBH/tai-chinh.htm?tab=BCTT
CMM,UPCOM,CTCP Camimex,Camimex Joint Stock Company,STOCK,398.0,Camimex,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,91849998,EXPANDED,https://finance.vietstock.vn/CMM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMM/tai-chinh.htm?tab=BCTT
HTP,UPCOM,CTCP In Sách Giáo khoa Hòa Phát,HTINVEST JSC,STOCK,399.0,In Sách Giáo khoa Hòa Phát,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Industrials,Comm. & Prof. Services,Commercial Services & Supplies,91804980,EXPANDED,https://finance.vietstock.vn/HTP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HTP/tai-chinh.htm?tab=BCTT
TIN,UPCOM,Công Ty Tài chính Cổ phần Tín Việt,VietCredit Finance Joint Stock Company,STOCK,400.0,Công Ty Tài chính Cổ phần Tín Việt,Tài chính,Tổ chức tín dụng,Tín dụng phi ngân hàng,Financials,Banks,Non-banks Credit Institutions,91178331,EXPANDED,https://finance.vietstock.vn/TIN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TIN/tai-chinh.htm?tab=BCTT
ASG,HOSE,CTCP Tập đoàn ASG,ASG Corporation,STOCK,401.0,ASG,Công nghiệp,Vận tải,Vận tải và logistics hàng không,Industrials,Transportation,Air Freight & Logistics,90784669,EXPANDED,https://finance.vietstock.vn/ASG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ASG/tai-chinh.htm?tab=BCTT
NVT,HOSE,CTCP Bất động sản Du lịch Ninh Vân Bay,Ninh Van Bay Travel Real Estate JSC,STOCK,402.0,Bất động sản Du lịch Ninh Vân Bay,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",90500000,EXPANDED,https://finance.vietstock.vn/NVT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/NVT/tai-chinh.htm?tab=BCTT
LIC,UPCOM,Tổng Công ty LICOGI - CTCP,LICOGI Corporation - JSC,STOCK,403.0,LICOGI - CTCP,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,90000000,EXPANDED,https://finance.vietstock.vn/LIC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LIC/tai-chinh.htm?tab=BCTT
LSG,UPCOM,CTCP Bất động sản Sài Gòn Vina,Saigon Vina Land Joint Stock Company,STOCK,404.0,Bất động sản Sài Gòn Vina,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,90000000,EXPANDED,https://finance.vietstock.vn/LSG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LSG/tai-chinh.htm?tab=BCTT
BVL,UPCOM,CTCP BV Land,BV Land JSC,STOCK,405.0,BV Land,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Industrials,Capital Goods,Industrial Conglomerates,89411287,EXPANDED,https://finance.vietstock.vn/BVL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BVL/tai-chinh.htm?tab=BCTT
RTB,UPCOM,CTCP Cao su Tân Biên,Tan Bien Rubber JSC,STOCK,406.0,Cao su Tân Biên,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,87945000,EXPANDED,https://finance.vietstock.vn/RTB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/RTB/tai-chinh.htm?tab=BCTT
HWS,UPCOM,CTCP Cấp nước Huế,Hue Water Supply Joint Stock Company,STOCK,407.0,Cấp nước Huế,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,87600000,EXPANDED,https://finance.vietstock.vn/HWS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HWS/tai-chinh.htm?tab=BCTT
SBB,UPCOM,CTCP Tập đoàn Bia Sài Gòn - Bình Tây,SaiGon Binh Tay Beer Group Joint Stock Company,STOCK,408.0,Bia Sài Gòn - Bình Tây,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,87524536,EXPANDED,https://finance.vietstock.vn/SBB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SBB/tai-chinh.htm?tab=BCTT
IFS,UPCOM,CTCP Thực phẩm Quốc tế,Interfood Shareholding Company,STOCK,409.0,Thực phẩm Quốc tế,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Consumer Staples,"Food, Bev. & Tobacco",Beverages,87140984,EXPANDED,https://finance.vietstock.vn/IFS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/IFS/tai-chinh.htm?tab=BCTT
DPR,HOSE,CTCP Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company,STOCK,410.0,Cao su Đồng Phú,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,86885932,EXPANDED,https://finance.vietstock.vn/DPR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DPR/tai-chinh.htm?tab=BCTT
CLX,UPCOM,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Cho Lon Investment And Import Export Corporation (CHOLIMEX),STOCK,411.0,Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Consumer Staples,Consumer Staples Dist. & Retail,Consumer Staples Distribution & Retail,86600000,EXPANDED,https://finance.vietstock.vn/CLX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLX/tai-chinh.htm?tab=BCTT
TLG,HOSE,CTCP Tập đoàn Thiên Long,Thien Long Group Corporation,STOCK,412.0,Thiên Long,Công nghiệp,Dịch vụ thương mại và chuyên nghiệp,Dịch vụ và thiết bị thương mại,Industrials,Comm. & Prof. Services,Commercial Services & Supplies,86453575,EXPANDED,https://finance.vietstock.vn/TLG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TLG/tai-chinh.htm?tab=BCTT
LSS,HOSE,CTCP Mía Đường Lam Sơn,Lam Son Sugar Joint Stock Corporation,STOCK,413.0,Mía Đường Lam Sơn,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,85741623,EXPANDED,https://finance.vietstock.vn/LSS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LSS/tai-chinh.htm?tab=BCTT
SCG,HNX,CTCP Tập đoàn Xây dựng SCG,SCG Construction Group Joint Stock Company,STOCK,414.0,Xây dựng SCG,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,85000000,EXPANDED,https://finance.vietstock.vn/SCG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SCG/tai-chinh.htm?tab=BCTT
DAH,HOSE,CTCP Tập đoàn Khách sạn Đông Á,Dong A Hotel Group JSC,STOCK,415.0,Khách sạn Đông Á,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",84200000,EXPANDED,https://finance.vietstock.vn/DAH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DAH/tai-chinh.htm?tab=BCTT
VCP,UPCOM,CTCP Xây Dựng Và Năng Lượng VCP,VCP Power & Construction Joint Stock Company,STOCK,416.0,Xây Dựng Và Năng Lượng VCP,Tiện ích,Tiện ích,Điện,Utilities,Utilities,Electric Utilities,83789658,EXPANDED,https://finance.vietstock.vn/VCP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VCP/tai-chinh.htm?tab=BCTT
IBC,UPCOM,CTCP Đầu tư Apax Holdings,Apax Holdings Joint Stock Company,STOCK,417.0,Đầu tư Apax Holdings,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,Dịch vụ tiêu dùng khác,Consumer Discretionary,Consumer Services,Diversified Consumer Services,83150661,EXPANDED,https://finance.vietstock.vn/IBC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/IBC/tai-chinh.htm?tab=BCTT
DHT,HNX,CTCP Dược phẩm Hà Tây,Ha Tay Pharmaceutical Joint Stock Company,STOCK,418.0,Dược phẩm Hà Tây,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Health Care,"Pharma., Bio. & Life Sciences",Pharmaceuticals,82341773,EXPANDED,https://finance.vietstock.vn/DHT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DHT/tai-chinh.htm?tab=BCTT
VGR,UPCOM,CTCP Cảng Xanh Vip,Vip Greenport Joint Stock Company,STOCK,419.0,Cảng Xanh Vip,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,82224959,EXPANDED,https://finance.vietstock.vn/VGR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VGR/tai-chinh.htm?tab=BCTT
BMP,HOSE,CTCP Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,STOCK,420.0,Nhựa Bình Minh,Công nghiệp,Hàng hóa công nghiệp,Sản phẩm xây dựng,Industrials,Capital Goods,Building Products,81860938,EXPANDED,https://finance.vietstock.vn/BMP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BMP/tai-chinh.htm?tab=BCTT
SBR,UPCOM,CTCP Cao su Sông Bé,Song Be Rubber Joint Stock Company,STOCK,421.0,Cao su Sông Bé,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,81396192,EXPANDED,https://finance.vietstock.vn/SBR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SBR/tai-chinh.htm?tab=BCTT
VSN,UPCOM,CTCP Việt Nam Kỹ nghệ Súc sản,Vissan Joint Stock Company,STOCK,422.0,Việt Nam Kỹ nghệ Súc sản,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,80914300,EXPANDED,https://finance.vietstock.vn/VSN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VSN/tai-chinh.htm?tab=BCTT
DFF,UPCOM,CTCP Tập đoàn Đua Fat,Dua Fat Group JSC,STOCK,423.0,Đua Fat,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,80000000,EXPANDED,https://finance.vietstock.vn/DFF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DFF/tai-chinh.htm?tab=BCTT
LLM,UPCOM,Tổng Công ty Lắp máy Việt Nam - CTCP,Viet Nam Machinery Installation Corporation - JSC,STOCK,424.0,Lắp máy Việt Nam - CTCP,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,79726104,EXPANDED,https://finance.vietstock.vn/LLM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LLM/tai-chinh.htm?tab=BCTT
SJF,UPCOM,CTCP Đầu tư Sao Thái Dương,Sunstar Investment Joint Stock Company,STOCK,425.0,Đầu tư Sao Thái Dương,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,Materials,Materials,Paper & Forest Products,79200000,EXPANDED,https://finance.vietstock.vn/SJF/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SJF/tai-chinh.htm?tab=BCTT
DGT,UPCOM,CTCP Công trình Giao thông Đồng Nai,DONA Transportation Construction Joint Stock Company,STOCK,426.0,Công trình Giao thông Đồng Nai,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,79000000,EXPANDED,https://finance.vietstock.vn/DGT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DGT/tai-chinh.htm?tab=BCTT
CTX,UPCOM,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Vietnam Investment Construction and Trading Joint Stock Corporation,STOCK,427.0,Đầu tư Xây dựng và Thương mại Việt Nam,Bất động sản,Bất động sản,Bất động sản đa dạng,Real Estate,Real Estate,Diversified Real Estate Activities,78907276,EXPANDED,https://finance.vietstock.vn/CTX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CTX/tai-chinh.htm?tab=BCTT
LDW,UPCOM,CTCP Cấp thoát nước Lâm Đồng,Lam Dong Water Supply And Sewerage JSC,STOCK,428.0,Cấp thoát nước Lâm Đồng,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,78800000,EXPANDED,https://finance.vietstock.vn/LDW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/LDW/tai-chinh.htm?tab=BCTT
SLD,UPCOM,CTCP Địa ốc Sacom,Sacom Land Corporation,STOCK,429.0,Địa ốc Sacom,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,78573095,EXPANDED,https://finance.vietstock.vn/SLD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SLD/tai-chinh.htm?tab=BCTT
TAR,UPCOM,CTCP Nông nghiệp Công nghệ cao Trung An,Trung An Hi-Tech Farming JSC,STOCK,430.0,Nông nghiệp Công nghệ cao Trung An,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,78319777,EXPANDED,https://finance.vietstock.vn/TAR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TAR/tai-chinh.htm?tab=BCTT
TLD,HOSE,CTCP Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Thang Long Urban Development And Construction Investment JSC,STOCK,431.0,Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,77741356,EXPANDED,https://finance.vietstock.vn/TLD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TLD/tai-chinh.htm?tab=BCTT
HID,HOSE,CTCP Halcom Việt Nam,Halcom Vietnam JSC,STOCK,432.0,Halcom Việt Nam,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Industrials,Capital Goods,Trading Companies & Distributors,76765032,EXPANDED,https://finance.vietstock.vn/HID/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HID/tai-chinh.htm?tab=BCTT
ADS,HOSE,CTCP Damsan,DamSan Joint Stock Company,STOCK,433.0,Damsan,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",76394727,EXPANDED,https://finance.vietstock.vn/ADS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ADS/tai-chinh.htm?tab=BCTT
SGI,UPCOM,CTCP Đầu tư Phát triển Sài Gòn 3 Group,Saigon3 Group Investment Development JSC,STOCK,434.0,Đầu tư Phát triển Sài Gòn 3 Group,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",75464700,EXPANDED,https://finance.vietstock.vn/SGI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SGI/tai-chinh.htm?tab=BCTT
AVC,UPCOM,CTCP Thủy điện A Vương,A Vuong Hydropower JSC,STOCK,435.0,Thủy điện A Vương,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,75052052,EXPANDED,https://finance.vietstock.vn/AVC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AVC/tai-chinh.htm?tab=BCTT
CQN,UPCOM,CTCP Cảng Quảng Ninh,QUANG NINH PORT JSC,STOCK,436.0,Cảng Quảng Ninh,Công nghiệp,Vận tải,Hạ tầng giao thông,Industrials,Transportation,Transportation Infrastructure,75049936,EXPANDED,https://finance.vietstock.vn/CQN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CQN/tai-chinh.htm?tab=BCTT
VCW,UPCOM,CTCP Đầu tư Nước sạch Sông Đà,Song Da Water Investment JSC,STOCK,437.0,Đầu tư Nước sạch Sông Đà,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,75000000,EXPANDED,https://finance.vietstock.vn/VCW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/VCW/tai-chinh.htm?tab=BCTT
TSJ,UPCOM,CTCP Du lịch Dịch vụ Hà Nội,HaNoi Tourist Service Joint Stock Company,STOCK,438.0,Du lịch Dịch vụ Hà Nội,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",74800000,EXPANDED,https://finance.vietstock.vn/TSJ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TSJ/tai-chinh.htm?tab=BCTT
HOM,HNX,CTCP Xi măng VICEM Hoàng Mai,Vicem Hoang Mai Cement JSC,STOCK,439.0,Xi măng VICEM Hoàng Mai,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Materials,Materials,Construction Materials,74769131,EXPANDED,https://finance.vietstock.vn/HOM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HOM/tai-chinh.htm?tab=BCTT
PPH,UPCOM,Tổng Công ty cổ phần Phong Phú,Phong Phu Corporation,STOCK,440.0,Phong Phú,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",74670891,EXPANDED,https://finance.vietstock.vn/PPH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PPH/tai-chinh.htm?tab=BCTT
HPW,UPCOM,CTCP Cấp nước Hải Phòng,Hai Phong Water JSC,STOCK,441.0,Cấp nước Hải Phòng,Tiện ích,Tiện ích,Nước,Utilities,Utilities,Water Utilities,74206940,EXPANDED,https://finance.vietstock.vn/HPW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/HPW/tai-chinh.htm?tab=BCTT
SMC,HOSE,CTCP Đầu tư Thương mại SMC,SMC Trading Investment Joint Stock Company,STOCK,442.0,Đầu tư Thương mại SMC,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Materials,Materials,Metals & Mining,73678587,EXPANDED,https://finance.vietstock.vn/SMC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SMC/tai-chinh.htm?tab=BCTT
ABI,UPCOM,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation,STOCK,443.0,Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Tài chính,Bảo hiểm,Bảo hiểm,Financials,Insurance,Insurance,72391750,EXPANDED,https://finance.vietstock.vn/ABI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/ABI/tai-chinh.htm?tab=BCTT
XMC,UPCOM,CTCP Đầu tư và Xây dựng Xuân Mai,Xuan Mai Investment and Construction Corporation,STOCK,444.0,Đầu tư và Xây dựng Xuân Mai,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Industrials,Capital Goods,Construction & Engineering,71405689,EXPANDED,https://finance.vietstock.vn/XMC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/XMC/tai-chinh.htm?tab=BCTT
AAT,HOSE,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Tien Son Thanh Hoa Group JSC,STOCK,445.0,Tiên Sơn Thanh Hóa,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",70819103,EXPANDED,https://finance.vietstock.vn/AAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/AAT/tai-chinh.htm?tab=BCTT
FIR,HOSE,CTCP Địa ốc First Real,First Real Joint Stock Company,STOCK,446.0,Địa ốc First Real,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,70669620,EXPANDED,https://finance.vietstock.vn/FIR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/FIR/tai-chinh.htm?tab=BCTT
PLP,HOSE,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Pha Le Plastics Manufacturing and Technology Joint Stock Company,STOCK,447.0,Sản xuất và Công nghệ Nhựa Pha Lê,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,70000000,EXPANDED,https://finance.vietstock.vn/PLP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PLP/tai-chinh.htm?tab=BCTT
TMP,HOSE,CTCP Thủy điện Thác Mơ,Thac Mo Hydro Power Joint Stock Company,STOCK,448.0,Thủy điện Thác Mơ,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Utilities,Utilities,Independent Power and Renewable Electricity Producers,70000000,EXPANDED,https://finance.vietstock.vn/TMP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/TMP/tai-chinh.htm?tab=BCTT
SGR,HOSE,CTCP Tổng CTCP Địa ốc Sài Gòn,Saigon Real Estate Group Joint Stock Company,STOCK,449.0,Tổng CTCP Địa ốc Sài Gòn,Bất động sản,Bất động sản,Dịch vụ bất động sản,Real Estate,Real Estate,Real Estate Services,69875000,EXPANDED,https://finance.vietstock.vn/SGR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/SGR/tai-chinh.htm?tab=BCTT
QBS,UPCOM,CTCP Xuất nhập khẩu Quảng Bình,Quang Binh Import & Export JSC,STOCK,450.0,Xuất nhập khẩu Quảng Bình,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,69329928,EXPANDED,https://finance.vietstock.vn/QBS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/QBS/tai-chinh.htm?tab=BCTT
DAT,HOSE,CTCP Đầu tư du lịch và Phát triển Thủy sản,Travel Investment And Seafood Development Corporation,STOCK,451.0,Đầu tư du lịch và Phát triển Thủy sản,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Consumer Staples,"Food, Bev. & Tobacco",Food Products,69228341,EXPANDED,https://finance.vietstock.vn/DAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/DAT/tai-chinh.htm?tab=BCTT
